month,entity,account_category,amount,currency
2025-01,ParentCo,Revenue,890000,USD
2025-01,ParentCo,COGS,134000,USD
2025-01,ParentCo,Opex:Marketing,178000,USD
2025-01,ParentCo,Opex:Sales,107000,USD
2025-01,ParentCo,Opex:R&D,71000,USD
2025-02,ParentCo,Revenue,910000,USD
2025-02,ParentCo,COGS,137000,USD
2025-02,ParentCo,Opex:Marketing,182000,USD
2025-02,ParentCo,Opex:Sales,109000,USD
2025-02,ParentCo,Opex:R&D,73000,USD
2025-03,ParentCo,Revenue,930000,USD
2025-03,ParentCo,COGS,140000,USD
2025-03,ParentCo,Opex:Marketing,186000,USD
2025-03,ParentCo,Opex:Sales,112000,USD
2025-03,ParentCo,Opex:R&D,74000,USD
2025-04,ParentCo,Revenue,950000,USD
2025-04,ParentCo,COGS,143000,USD
2025-04,ParentCo,Opex:Marketing,190000,USD
2025-04,ParentCo,Opex:Sales,114000,USD
2025-04,ParentCo,Opex:R&D,76000,USD
2025-05,ParentCo,Revenue,970000,USD
2025-05,ParentCo,COGS,146000,USD
2025-05,ParentCo,Opex:Marketing,194000,USD
2025-05,ParentCo,Opex:Sales,116000,USD
2025-05,ParentCo,Opex:R&D,77000,USD
2025-06,ParentCo,Revenue,990000,USD
2025-06,ParentCo,COGS,149000,USD
2025-06,ParentCo,Opex:Marketing,198000,USD
2025-06,ParentCo,Opex:Sales,119000,USD
2025-06,ParentCo,Opex:R&D,79000,USD